"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","MODEL","LiaisonRecommendation"
"8306",2615449,"X006047055","PL2851 .T26 A6 1996 v.1","ALDERMAN","Zhou Daxin wen ji.","Zhou, Daxin,",1996,"12/11/97","3/5/09",2,0,0,5,"2",TRUE,"0",0
"8307",4691116,"X030385437","PL2443 .C44143 2007","ALDERMAN","Jidu jiao wen hua yu Zhongguo xiao shuo xu shi xin zhi /","Chen, Weihua,",2007,"2/22/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8308",4691091,"X030459524","PL2447 .Z45 2007","ALDERMAN","Jia gu wen ji si bu ci yu yan yan jiu /","Zheng, Jie.",2007,"2/22/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8309",4691090,"X030385204","PL2448 .X82 2007","ALDERMAN","Han dai tong qi ming wen zong he yan jiu /","Xu, Zhengkao.",2007,"2/22/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8310",4691079,"X030460370","PL2465 .Z7 Y3638 2007","ALDERMAN","Wan chu ""Gu wen shang shu"" gong an yu Qing dai xue shu /","Wu, Tongfu,",2007,"2/22/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8311",4691104,"X030385434","PL2698 .L52 Z73 2007","ALDERMAN","Li Yu mei xue si xiang yan jiu = The studies of the aesthetic ideas of Li Yu /","Du, Shuying.",2007,"2/22/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8312",4690808,"X030385203","PL2307 .L56954 2007","ALDERMAN","Fu bi xing yu Zhongguo shi xue yan jiu /","Liu, Huairong,",2007,"2/21/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8313",4690790,"X030385202","PL2309 .F8 Z664 2007","ALDERMAN","Han fu yan jiu shi lun = Hanfu yanjiu shilun /","Zong, Fan,",2007,"2/21/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8314",4690712,"X030459885","PL2464 .Z6 G364 2007","ALDERMAN","Xian Qin yi xue shi = Xian Qin yi xue shi /","Gao, Huaimin.",2007,"2/21/08","1/1/00",0,0,0,1,"2",TRUE,"0",0
"8315",4690711,"X030557639","PL2464 .Z7 G364 2007","ALDERMAN","Song Yuan Ming Yi xue shi = Song Yuan Ming Yi xue shi /","Gao, Huaimin.",2007,"2/21/08","1/1/00",0,0,0,1,"2",TRUE,"0",0
"8316",4690700,"X030557638","PL2476 .Z7 T3633 2007","ALDERMAN","Xiao jing zhu shu yan jiu /","Chen, Yifeng,",2007,"2/21/08","1/1/00",0,0,0,1,"2",TRUE,"0",0
"8317",4690715,"X030408018","PL2663 .L83 W366 2007","ALDERMAN","""Lü shi chun qiu"" yan jiu /","Wang, Qicai.",2007,"2/21/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8318",4690709,"X030459841","PL2698 .L45 Z76 2007","ALDERMAN","Li Zhi da xue ming de jing shen lun /","Qin, Xuezhi,",2007,"2/21/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8319",4690809,"X030459890","PL2727 .S2 M455 2007","ALDERMAN","Yin yue jia yan zhong de Hong lou meng /","Meng, Fanyu,",2007,"2/21/08","1/1/00",2,0,0,1,"2",FALSE,"0",0
"8320",4690806,"X030459581","PL2780 .F4 Z575 2007","ALDERMAN","Ba Jin yu yu wai wen hua /","Jia, Lei,",2007,"2/21/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8321",5406033,"X031200265","PL2685 .A6 1965","ALDERMAN","Su Dongpo shi xuan /","Su, Shi,",1965,"8/31/11","1/1/00",0,0,0,1,"2",FALSE,"0",0
"8322",3503094,"X004419027","PL1117.5 .C6 E74 1991","ALDERMAN","Er tong shi = Children's poetry /","",1991,"2/7/00","9/26/07",0,0,0,1,"2",FALSE,"0",0
"8323",3503093,"X004419028","PL1117.5 .C6 M33 1991","ALDERMAN","Tang shi xin shang = T?ang poetry /","Ma, Zhaohua.",1991,"2/7/00","9/26/07",1,0,0,1,"2",FALSE,"0",0
"8324",3503086,"X004419037","PL1117.5 .H57 L53 1991 v.1","ALDERMAN","Zhongguo li shi gu shi. Stories from Chinese history.","Liao, Fengde,",1991,"2/7/00","9/26/07",0,0,0,1,"2",TRUE,"0",0
"8325",3503084,"X004419039","PL1117.5 .H57 L56 1991 v.2","ALDERMAN","Zhongguo li shi gu shi. Stories from Chinese history.","Lin, Nengshi.",1991,"2/7/00","9/26/07",0,0,0,1,"2",TRUE,"0",0
"8326",2950491,"X004125083","PL2795 .U24 H29 1994","ALDERMAN","Han yu tang shi ji /","Pu, Ru,",1994,"9/30/99","10/25/07",0,0,0,1,"2",FALSE,"0",0
"8327",683947,"X000788733","PL2765 .U2 1983 V.2","ALDERMAN","Xu Zhimo quan ji.","Xu, Zhimo,",1983,"6/29/96","4/4/11",6,0,0,5,"2",TRUE,"0",0
"8328",4688440,"X030365732","PL2263 .L54 C358 2007","ALDERMAN","Liu Xie Wen xin diao long yu jing xue /","Cai, Zongyang.",2007,"2/13/08","1/1/00",0,0,0,1,"2",TRUE,"0",0
"8329",4688439,"X030365733","PL2313 .S784 2007","ALDERMAN","Sao ti de fa zhan yu yan bian : cong Han dao Tang de guan cha /","Su, Huishuang.",2007,"2/13/08","1/1/00",0,0,0,1,"2",FALSE,"0",0
