Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Number of Items,Item Legacy Total Charges
229120,2,ALDERMAN,STACKS,DC101.5 .A2 J37 1979,1979,the glory of Agincourt / Crispin's Day :,"Jarman, Rosemary Hawley.",X000140160,BOOK,6/28/96,5/9/08,STACKS,0,0,0,1,17
3587856,2,ALDERMAN,STACKS,DC101.6 .R49 2000,2000,"Le temps des princes : Louis II & Louis III d'Anjou-Provence, 1384-1434 /","Reynaud, Marcelle-Renée.",X004563971,BOOK,12/6/00,1/1/00,STACKS,0,0,0,1,0
1325344,2,ALDERMAN,STACKS,DC101.7 .B6 L3 1988,1988,"étude d'une biographie héroïque / Jean II, le Meingre, dit Boucicaut (1366-1421) :","Lalande, Denis.",X001504504,BOOK,6/30/96,1/1/00,STACKS,0,0,0,1,0
1964469,2,ALDERMAN,STACKS,DC101.7 .B6 R84 1989,1989,"Boucicaut, gobernador de Génova : biografía de un caballero errante /","Ruiz Doménec, J. E.",X002119409,BOOK,6/30/96,1/6/09,STACKS,0,0,0,1,1
306586,2,ALDERMAN,STACKS,DC101.7 .C6 M5 1977,1977,Les d'Orgemont /,"Mirot, Léon,",X000699047,BOOK,6/28/96,1/6/09,STACKS,0,0,0,1,0
5270875,2,ALDERMAN,STACKS,DC101.7 .I7 A336 2010,2010,The life and afterlife of Isabeau of Bavaria /,"Adams, Tracy,",X030815512,BOOK,1/13/11,1/15/15,STACKS,1,0,1,1,1
945472,2,ALDERMAN,STACKS,DC101.7 .I7 K5,1969,"Isabeau de Bavière, reine de France, 1370-1435;","Kimm, Heidrun.",X001751667,BOOK,6/29/96,1/1/00,STACKS,0,0,1,1,2
2053288,2,ALDERMAN,STACKS,DC101.7 .I7 S3 1992,1992,"Histoire secrète d'Isabelle de Bavière, reine de France /","Sade,",X002189949,BOOK,6/30/96,1/5/11,STACKS,0,0,1,1,1
165333,2,ALDERMAN,STACKS,DC101.7 .I7 S34,1979,d. Wittelsbacherin auf d. Lilienthron : Biographie / Königin Isabeau :,"Saller, Martin,",X000221405,BOOK,6/28/96,1/6/09,STACKS,0,0,0,1,0
4057488,2,ALDERMAN,STACKS,DC101.7 .L38 T73 2004,2004,"Un Traducteur et un humaniste de l'époque de Charles VI, Laurent de Premierfait /",,X004791395,BOOK,9/9/04,5/4/13,STACKS,0,5,1,1,7
6604519,2,ALDERMAN,STACKS,DC101.7 .O7 J34 2014,2014,a true tale of crime and detection in medieval Paris / Blood royal :,"Jager, Eric,",X031732912,BOOK,8/6/15,8/27/15,STACKS,1,0,0,1,1
679596,2,ALDERMAN,STACKS,DC101.7 .P4 C6 1932,1932,Jean Petit : la question du tyrannicide au commencement du XVe siècle.,"Coville, Alfred,",X001148083,BOOK,6/29/96,11/23/09,STACKS,0,0,0,1,17
